dataset,outer_fold,K_manifest,source_classes_represented,target_classes_represented,missing_source_classes,missing_target_classes,source_class_complete,target_class_complete,split_version,phase7_dataset
dermatology,0,6,6,6,[],[],True,True,original_phase2,False
dermatology,0,6,6,6,[],[],True,True,hypothesis_y1_corrected,False
dermatology,1,6,6,6,[],[],True,True,original_phase2,False
dermatology,1,6,6,6,[],[],True,True,hypothesis_y1_corrected,False
dermatology,2,6,6,6,[],[],True,True,original_phase2,False
dermatology,2,6,6,6,[],[],True,True,hypothesis_y1_corrected,False
dermatology,3,6,6,6,[],[],True,True,original_phase2,False
dermatology,3,6,6,6,[],[],True,True,hypothesis_y1_corrected,False
dermatology,4,6,6,6,[],[],True,True,original_phase2,False
dermatology,4,6,6,6,[],[],True,True,hypothesis_y1_corrected,False
ecoli,0,8,8,7,[],"[""imL""]",True,False,original_phase2,False
ecoli,0,8,8,7,[],"[""imS""]",True,False,hypothesis_y1_corrected,False
ecoli,1,8,8,7,[],"[""omL""]",True,False,original_phase2,False
ecoli,1,8,8,6,[],"[""imL"", ""imS""]",True,False,hypothesis_y1_corrected,False
ecoli,2,8,8,6,[],"[""imL"", ""imS""]",True,False,original_phase2,False
ecoli,2,8,8,7,[],"[""imS""]",True,False,hypothesis_y1_corrected,False
ecoli,3,8,8,7,[],"[""imS""]",True,False,original_phase2,False
ecoli,3,8,8,7,[],"[""imL""]",True,False,hypothesis_y1_corrected,False
ecoli,4,8,8,6,[],"[""imL"", ""imS""]",True,False,original_phase2,False
ecoli,4,8,8,7,[],"[""imL""]",True,False,hypothesis_y1_corrected,False
electricity,0,2,2,2,[],[],True,True,original_phase2,False
electricity,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
electricity,1,2,2,2,[],[],True,True,original_phase2,False
electricity,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
electricity,2,2,2,2,[],[],True,True,original_phase2,False
electricity,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
electricity,3,2,2,2,[],[],True,True,original_phase2,False
electricity,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
electricity,4,2,2,2,[],[],True,True,original_phase2,False
electricity,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
glass,0,6,6,5,[],"[""containers""]",True,False,original_phase2,True
glass,0,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
glass,1,6,6,6,[],[],True,True,original_phase2,True
glass,1,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
glass,2,6,6,5,[],"[""tableware""]",True,False,original_phase2,True
glass,2,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
glass,3,6,6,6,[],[],True,True,original_phase2,True
glass,3,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
glass,4,6,6,6,[],[],True,True,original_phase2,True
glass,4,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
haberman_survival,0,2,2,2,[],[],True,True,original_phase2,False
haberman_survival,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
haberman_survival,1,2,2,2,[],[],True,True,original_phase2,False
haberman_survival,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
haberman_survival,2,2,2,2,[],[],True,True,original_phase2,False
haberman_survival,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
haberman_survival,3,2,2,2,[],[],True,True,original_phase2,False
haberman_survival,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
haberman_survival,4,2,2,2,[],[],True,True,original_phase2,False
haberman_survival,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
heart_disease,0,5,5,5,[],[],True,True,original_phase2,False
heart_disease,0,5,5,5,[],[],True,True,hypothesis_y1_corrected,False
heart_disease,1,5,5,5,[],[],True,True,original_phase2,False
heart_disease,1,5,5,5,[],[],True,True,hypothesis_y1_corrected,False
heart_disease,2,5,5,5,[],[],True,True,original_phase2,False
heart_disease,2,5,5,5,[],[],True,True,hypothesis_y1_corrected,False
heart_disease,3,5,5,5,[],[],True,True,original_phase2,False
heart_disease,3,5,5,5,[],[],True,True,hypothesis_y1_corrected,False
heart_disease,4,5,5,5,[],[],True,True,original_phase2,False
heart_disease,4,5,5,5,[],[],True,True,hypothesis_y1_corrected,False
human_activity_recognition,0,6,6,6,[],[],True,True,original_phase2,True
human_activity_recognition,0,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
human_activity_recognition,1,6,6,6,[],[],True,True,original_phase2,True
human_activity_recognition,1,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
human_activity_recognition,2,6,6,6,[],[],True,True,original_phase2,True
human_activity_recognition,2,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
human_activity_recognition,3,6,6,6,[],[],True,True,original_phase2,True
human_activity_recognition,3,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
human_activity_recognition,4,6,6,6,[],[],True,True,original_phase2,True
human_activity_recognition,4,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
image_segmentation,0,7,7,7,[],[],True,True,original_phase2,False
image_segmentation,0,7,7,7,[],[],True,True,hypothesis_y1_corrected,False
image_segmentation,1,7,7,7,[],[],True,True,original_phase2,False
image_segmentation,1,7,7,7,[],[],True,True,hypothesis_y1_corrected,False
image_segmentation,2,7,7,7,[],[],True,True,original_phase2,False
image_segmentation,2,7,7,7,[],[],True,True,hypothesis_y1_corrected,False
image_segmentation,3,7,7,7,[],[],True,True,original_phase2,False
image_segmentation,3,7,7,7,[],[],True,True,hypothesis_y1_corrected,False
image_segmentation,4,7,7,7,[],[],True,True,original_phase2,False
image_segmentation,4,7,7,7,[],[],True,True,hypothesis_y1_corrected,False
ionosphere,0,2,2,2,[],[],True,True,original_phase2,False
ionosphere,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
ionosphere,1,2,2,2,[],[],True,True,original_phase2,False
ionosphere,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
ionosphere,2,2,2,2,[],[],True,True,original_phase2,False
ionosphere,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
ionosphere,3,2,2,2,[],[],True,True,original_phase2,False
ionosphere,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
ionosphere,4,2,2,2,[],[],True,True,original_phase2,False
ionosphere,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
iris,0,3,3,3,[],[],True,True,original_phase2,True
iris,0,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
iris,1,3,3,3,[],[],True,True,original_phase2,True
iris,1,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
iris,2,3,3,3,[],[],True,True,original_phase2,True
iris,2,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
iris,3,3,3,3,[],[],True,True,original_phase2,True
iris,3,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
iris,4,3,3,3,[],[],True,True,original_phase2,True
iris,4,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
isolet,0,26,26,26,[],[],True,True,original_phase2,False
isolet,0,26,26,26,[],[],True,True,hypothesis_y1_corrected,False
isolet,1,26,26,26,[],[],True,True,original_phase2,False
isolet,1,26,26,26,[],[],True,True,hypothesis_y1_corrected,False
isolet,2,26,26,26,[],[],True,True,original_phase2,False
isolet,2,26,26,26,[],[],True,True,hypothesis_y1_corrected,False
isolet,3,26,26,26,[],[],True,True,original_phase2,False
isolet,3,26,26,26,[],[],True,True,hypothesis_y1_corrected,False
isolet,4,26,26,26,[],[],True,True,original_phase2,False
isolet,4,26,26,26,[],[],True,True,hypothesis_y1_corrected,False
letter_recognition,0,26,26,26,[],[],True,True,original_phase2,True
letter_recognition,0,26,26,26,[],[],True,True,hypothesis_y1_corrected,True
letter_recognition,1,26,26,26,[],[],True,True,original_phase2,True
letter_recognition,1,26,26,26,[],[],True,True,hypothesis_y1_corrected,True
letter_recognition,2,26,26,26,[],[],True,True,original_phase2,True
letter_recognition,2,26,26,26,[],[],True,True,hypothesis_y1_corrected,True
letter_recognition,3,26,26,26,[],[],True,True,original_phase2,True
letter_recognition,3,26,26,26,[],[],True,True,hypothesis_y1_corrected,True
letter_recognition,4,26,26,26,[],[],True,True,original_phase2,True
letter_recognition,4,26,26,26,[],[],True,True,hypothesis_y1_corrected,True
madelon,0,2,2,2,[],[],True,True,original_phase2,True
madelon,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
madelon,1,2,2,2,[],[],True,True,original_phase2,True
madelon,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
madelon,2,2,2,2,[],[],True,True,original_phase2,True
madelon,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
madelon,3,2,2,2,[],[],True,True,original_phase2,True
madelon,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
madelon,4,2,2,2,[],[],True,True,original_phase2,True
madelon,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
mice_protein_expression,0,8,8,8,[],[],True,True,original_phase2,True
mice_protein_expression,0,8,8,8,[],[],True,True,hypothesis_y1_corrected,True
mice_protein_expression,1,8,8,6,[],"[""c-CS-s"", ""t-SC-s""]",True,False,original_phase2,True
mice_protein_expression,1,8,8,8,[],[],True,True,hypothesis_y1_corrected,True
mice_protein_expression,2,8,8,8,[],[],True,True,original_phase2,True
mice_protein_expression,2,8,8,8,[],[],True,True,hypothesis_y1_corrected,True
mice_protein_expression,3,8,8,8,[],[],True,True,original_phase2,True
mice_protein_expression,3,8,8,8,[],[],True,True,hypothesis_y1_corrected,True
mice_protein_expression,4,8,8,7,[],"[""c-SC-s""]",True,False,original_phase2,True
mice_protein_expression,4,8,8,8,[],[],True,True,hypothesis_y1_corrected,True
optdigits,0,10,10,10,[],[],True,True,original_phase2,False
optdigits,0,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
optdigits,1,10,10,10,[],[],True,True,original_phase2,False
optdigits,1,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
optdigits,2,10,10,10,[],[],True,True,original_phase2,False
optdigits,2,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
optdigits,3,10,10,10,[],[],True,True,original_phase2,False
optdigits,3,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
optdigits,4,10,10,10,[],[],True,True,original_phase2,False
optdigits,4,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
pendigits,0,10,10,10,[],[],True,True,original_phase2,True
pendigits,0,10,10,10,[],[],True,True,hypothesis_y1_corrected,True
pendigits,1,10,10,10,[],[],True,True,original_phase2,True
pendigits,1,10,10,10,[],[],True,True,hypothesis_y1_corrected,True
pendigits,2,10,10,10,[],[],True,True,original_phase2,True
pendigits,2,10,10,10,[],[],True,True,hypothesis_y1_corrected,True
pendigits,3,10,10,10,[],[],True,True,original_phase2,True
pendigits,3,10,10,10,[],[],True,True,hypothesis_y1_corrected,True
pendigits,4,10,10,10,[],[],True,True,original_phase2,True
pendigits,4,10,10,10,[],[],True,True,hypothesis_y1_corrected,True
pima_diabetes,0,2,2,2,[],[],True,True,original_phase2,False
pima_diabetes,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
pima_diabetes,1,2,2,2,[],[],True,True,original_phase2,False
pima_diabetes,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
pima_diabetes,2,2,2,2,[],[],True,True,original_phase2,False
pima_diabetes,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
pima_diabetes,3,2,2,2,[],[],True,True,original_phase2,False
pima_diabetes,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
pima_diabetes,4,2,2,2,[],[],True,True,original_phase2,False
pima_diabetes,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
satimage,0,6,6,6,[],[],True,True,original_phase2,True
satimage,0,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
satimage,1,6,6,6,[],[],True,True,original_phase2,True
satimage,1,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
satimage,2,6,6,6,[],[],True,True,original_phase2,True
satimage,2,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
satimage,3,6,6,6,[],[],True,True,original_phase2,True
satimage,3,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
satimage,4,6,6,6,[],[],True,True,original_phase2,True
satimage,4,6,6,6,[],[],True,True,hypothesis_y1_corrected,True
seeds,0,3,3,3,[],[],True,True,original_phase2,False
seeds,0,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
seeds,1,3,3,3,[],[],True,True,original_phase2,False
seeds,1,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
seeds,2,3,3,3,[],[],True,True,original_phase2,False
seeds,2,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
seeds,3,3,3,3,[],[],True,True,original_phase2,False
seeds,3,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
seeds,4,3,3,3,[],[],True,True,original_phase2,False
seeds,4,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
sonar,0,2,2,2,[],[],True,True,original_phase2,True
sonar,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
sonar,1,2,2,2,[],[],True,True,original_phase2,True
sonar,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
sonar,2,2,2,2,[],[],True,True,original_phase2,True
sonar,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
sonar,3,2,2,2,[],[],True,True,original_phase2,True
sonar,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
sonar,4,2,2,2,[],[],True,True,original_phase2,True
sonar,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
spambase,0,2,2,2,[],[],True,True,original_phase2,True
spambase,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
spambase,1,2,2,2,[],[],True,True,original_phase2,True
spambase,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
spambase,2,2,2,2,[],[],True,True,original_phase2,True
spambase,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
spambase,3,2,2,2,[],[],True,True,original_phase2,True
spambase,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
spambase,4,2,2,2,[],[],True,True,original_phase2,True
spambase,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
vehicle_silhouettes,0,4,4,4,[],[],True,True,original_phase2,False
vehicle_silhouettes,0,4,4,4,[],[],True,True,hypothesis_y1_corrected,False
vehicle_silhouettes,1,4,4,4,[],[],True,True,original_phase2,False
vehicle_silhouettes,1,4,4,4,[],[],True,True,hypothesis_y1_corrected,False
vehicle_silhouettes,2,4,4,4,[],[],True,True,original_phase2,False
vehicle_silhouettes,2,4,4,4,[],[],True,True,hypothesis_y1_corrected,False
vehicle_silhouettes,3,4,4,4,[],[],True,True,original_phase2,False
vehicle_silhouettes,3,4,4,4,[],[],True,True,hypothesis_y1_corrected,False
vehicle_silhouettes,4,4,4,4,[],[],True,True,original_phase2,False
vehicle_silhouettes,4,4,4,4,[],[],True,True,hypothesis_y1_corrected,False
waveform,0,3,3,3,[],[],True,True,original_phase2,True
waveform,0,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
waveform,1,3,3,3,[],[],True,True,original_phase2,True
waveform,1,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
waveform,2,3,3,3,[],[],True,True,original_phase2,True
waveform,2,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
waveform,3,3,3,3,[],[],True,True,original_phase2,True
waveform,3,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
waveform,4,3,3,3,[],[],True,True,original_phase2,True
waveform,4,3,3,3,[],[],True,True,hypothesis_y1_corrected,True
wine,0,3,3,3,[],[],True,True,original_phase2,False
wine,0,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
wine,1,3,3,3,[],[],True,True,original_phase2,False
wine,1,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
wine,2,3,3,3,[],[],True,True,original_phase2,False
wine,2,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
wine,3,3,3,3,[],[],True,True,original_phase2,False
wine,3,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
wine,4,3,3,3,[],[],True,True,original_phase2,False
wine,4,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
yeast,0,10,10,9,[],"[""ERL""]",True,False,original_phase2,False
yeast,0,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
yeast,1,10,10,10,[],[],True,True,original_phase2,False
yeast,1,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
yeast,2,10,10,10,[],[],True,True,original_phase2,False
yeast,2,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
yeast,3,10,10,9,[],"[""ERL""]",True,False,original_phase2,False
yeast,3,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
yeast,4,10,10,9,[],"[""ERL""]",True,False,original_phase2,False
yeast,4,10,10,10,[],[],True,True,hypothesis_y1_corrected,False
